x,date,events
-4.184,2014-03-08,91088
-4.076,2014-03-18,153788
-3.968,2014-03-29,86515
-3.86,2014-04-09,159169
-3.752,2014-04-20,82269
-3.644,2014-05-01,135116
-3.536,2014-05-11,82042
-3.428,2014-05-22,149945
-3.32,2014-06-02,137510
-3.31,2014-06-03,148359
-3.212,2014-06-13,132414
-3.104,2014-06-24,147311
-2.996,2014-07-04,109948
-2.888,2014-07-15,161108
-2.78,2014-07-26,104054
-2.672,2014-08-06,161261
-2.564,2014-08-17,92149
-2.456,2014-08-27,164345
-2.348,2014-09-07,95913
-2.24,2014-09-18,167106
-2.132,2014-09-29,162195
-2.024,2014-10-10,168440
-1.916,2014-10-20,172167
-0.18,2015-04-12,120095
0.0,2015-04-30,209624
0.18,2015-05-18,186377
0.33,2015-06-02,187350
0.8,2015-07-19,119581
1.62,2015-10-09,224941
1.81,2015-10-28,238290
2.34,2015-12-20,119498
3.6,2016-04-24,133464
3.78,2016-05-12,242701
4.4,2016-07-13,240667
4.86,2016-08-28,126240
5.16,2016-09-27,238879
5.41,2016-10-22,148113
5.58,2016-11-08,232926
5.94,2016-12-14,225310
6.12,2017-01-01,97865
6.41,2017-01-30,263106
6.65,2017-02-23,251850
6.66,2017-02-24,237636
7.2,2017-04-19,208287
8.1,2017-07-18,180265
9.01,2017-10-17,207726
9.5687,2017-12-12,189150
9.72,2017-12-27,134988
9.99,2018-01-23,199894
10.8,2018-04-14,150670
10.95,2018-04-29,110830
11.1921,2018-05-23,209356
11.547,2018-06-28,207904
11.6919,2018-07-12,201920
11.8457,2018-07-28,115083
12.24,2018-09-05,204188
12.41,2018-09-22,119300
12.6,2018-10-11,195407
12.61,2018-10-12,188556
12.78,2018-10-29,182318
12.9,2018-11-10,133328
13.318,2018-12-22,103245
13.35,2018-12-25,79953
13.5993,2019-01-19,122239
14.4,2019-04-09,191591
14.608,2019-04-30,184403
14.76,2019-05-15,194376
14.82,2019-05-21,180705
14.95,2019-06-03,163708
15.128,2019-06-21,178079
16.21,2019-10-07,158841
16.918,2019-12-17,164039
17.22,2020-01-16,185276
17.32,2020-01-26,94443
17.71,2020-03-05,188626
18.0,2020-04-03,144262
18.29,2020-05-02,86708
18.39,2020-05-12,139690
18.41,2020-05-14,146058
18.728,2020-06-15,136420
19.65,2020-09-15,154834
19.81,2020-10-01,148635
20.0,2020-10-20,105653
20.186,2020-11-08,34748
20.34,2020-11-23,120493
20.41,2020-11-30,116386
20.42,2020-12-01,130311
20.518,2020-12-11,129714
21.6,2021-03-29,111064
21.913,2021-04-29,129941
22.32,2021-06-09,131251
22.328,2021-06-10,134824
23.41,2021-09-26,104784
23.61,2021-10-16,75537
23.71,2021-10-26,122581
23.81,2021-11-05,116532
24.01,2021-11-25,99418
24.118,2021-12-06,111185
24.21,2021-12-15,120897
24.27,2021-12-21,106683
24.29,2021-12-23,99005
24.2969,2021-12-24,73341
24.329,2021-12-27,73815
24.41,2022-01-04,97275
24.412,2022-01-04,97275
24.447,2022-01-08,66008
24.61,2022-01-24,110134
24.81,2022-02-13,68763
24.84,2022-02-16,128319
24.897,2022-02-22,135643
25.2,2022-03-24,147046
25.565,2022-04-29,123847
25.928,2022-06-05,60474
26.81,2022-09-01,108529
27.01,2022-09-21,120721
27.36,2022-10-26,112881
27.41,2022-10-31,95119
27.718,2022-12-01,106419
28.28,2023-01-26,117787
29.217,2023-04-30,94591
29.528,2023-05-31,166011
29.88,2023-07-05,140945
30.42,2023-08-28,132048
30.538,2023-09-09,98527
30.638,2023-09-19,167824
31.028,2023-10-28,104221
31.318,2023-11-26,83444
31.5,2023-12-14,157574
31.63,2023-12-27,108687
32.13,2024-02-15,156488
32.4,2024-03-13,154952
32.68,2024-04-10,148167
33.128,2024-05-25,87437
33.39,2024-06-20,137191
33.485,2024-06-29,76871
33.504,2024-07-01,117734
33.565,2024-07-07,69123
33.61,2024-07-12,132641
34.0,2024-08-20,147425
34.1,2024-08-30,132571
34.24,2024-09-13,146141
34.3,2024-09-19,144671
34.8,2024-11-08,129191
34.918,2024-11-20,146393
34.92,2024-11-20,146393
35.418,2025-01-09,140097
36.52,2025-04-29,145941
36.68,2025-05-15,154382
36.7033,2025-05-17,90503
36.715,2025-05-18,81239
36.728,2025-05-20,147582
36.928,2025-06-09,118686
37.112,2025-06-27,
37.128,2025-06-29,
37.328,2025-07-19,82720
37.44,2025-07-30,131027
37.528,2025-08-08,134074
37.728,2025-08-28,138975
37.928,2025-09-17,136649
38.128,2025-10-07,138115
38.3478,2025-10-29,141855
38.518,2025-11-15,75959
39.74,2026-03-17,133392
39.8,2026-03-23,100882
39.88,2026-03-31,120412
40.1739,2026-04-29,122914
42.28,2026-11-26,
42.86,2027-01-23,
45.0,2027-08-25,
47.52,2028-05-03,
50.04,2029-01-10,
52.56,2029-09-19,
55.08,2030-05-29,
57.6,2031-02-05,
60.12,2031-10-15,
62.64,2032-06-23,
65.16,2033-03-02,
67.48,2033-10-20,
67.68,2033-11-09,
70.2,2034-07-19,
72.0,2035-01-15,
72.72,2035-03-28,
73.043,2035-04-29,
75.24,2035-12-05,
75.6,2036-01-10,
76.695,2036-04-28,
77.76,2036-08-13,
80.28,2037-04-22,
82.8,2037-12-30,
85.68,2038-10-14,
87.84,2039-05-18,
97.2,2041-12-09,
111.6,2045-11-18,
183.6,2065-08-05,
212.4,2073-06-24,
